% ID	X	Y	Z
 117 	 -122.600930 	 -30.004787 	 1.100000 
 118 	 -264.607777 	 -26.109208 	 1.100000 
 119 	 -92.235486 	 -31.198823 	 1.100000 
 120 	 -377.749427 	 -130.015657 	 1.100000 
 121 	 -99.247323 	 429.362893 	 1.100000 
 122 	 -291.290941 	 198.437194 	 1.100000 
 123 	 -277.846864 	 -90.258077 	 1.100000 
 124 	 423.712151 	 193.270112 	 1.100000 
 125 	 -321.127000 	 -130.516972 	 1.100000 
 126 	 -381.309220 	 335.268951 	 1.100000 
 127 	 -89.737384 	 -49.900449 	 1.100000 
 128 	 -203.528467 	 469.875923 	 1.100000 
 129 	 -385.289517 	 345.536602 	 1.100000 
 130 	 198.815841 	 484.205745 	 1.100000 
 131 	 295.858702 	 -321.792689 	 1.100000 
 132 	 461.192160 	 -181.732204 	 1.100000 
 133 	 -332.862555 	 126.308928 	 1.100000 
 134 	 -297.996577 	 75.724716 	 1.100000 
 135 	 -458.713716 	 -29.667747 	 1.100000 
 136 	 391.244289 	 336.609276 	 1.100000 
 137 	 116.465157 	 -471.028470 	 1.100000 
 138 	 73.395923 	 -477.448959 	 1.100000 
 139 	 359.933781 	 -235.443646 	 1.100000 
 140 	 291.738960 	 396.121601 	 1.100000 
 141 	 391.429061 	 -26.072775 	 1.100000 
 142 	 140.104653 	 191.065168 	 1.100000 
 143 	 244.189822 	 128.436830 	 1.100000 
 144 	 113.045163 	 -343.607778 	 1.100000 
 145 	 317.909357 	 -183.384523 	 1.100000 
 146 	 67.743062 	 -449.889977 	 1.100000 
 147 	 406.831259 	 350.822483 	 1.100000 
 148 	 -265.599874 	 -230.603377 	 1.100000 
 149 	 313.198536 	 210.370218 	 1.100000 
 150 	 -179.755207 	 495.390837 	 1.100000 
 151 	 -32.410131 	 -54.697334 	 1.100000 
 152 	 429.247934 	 -269.755767 	 1.100000 
 153 	 219.383029 	 -275.314511 	 1.100000 
 154 	 -539.263445 	 49.968893 	 1.100000 
 155 	 -67.685211 	 149.601746 	 1.100000 
 156 	 392.134660 	 219.450436 	 1.100000 
 157 	 156.044452 	 -187.192509 	 1.100000 
 158 	 44.629841 	 76.021792 	 1.100000 
 159 	 46.361786 	 502.978497 	 1.100000 
 160 	 -295.153221 	 146.594630 	 1.100000 
 161 	 -387.535522 	 370.454968 	 1.100000 
 162 	 78.815725 	 220.803936 	 1.100000 
 163 	 359.971330 	 42.704500 	 1.100000 
 164 	 -158.796233 	 -370.476610 	 1.100000 
 165 	 -93.675964 	 125.157434 	 1.100000 
 166 	 -351.778622 	 -338.128423 	 1.100000 
 167 	 -330.564010 	 -202.105634 	 1.100000 
 168 	 10.968269 	 160.470705 	 1.100000 
 169 	 -287.740581 	 138.927813 	 1.100000 
 170 	 278.247363 	 -425.994482 	 1.100000 
 171 	 -402.972127 	 -310.642950 	 1.100000 
 172 	 7.879942 	 28.340440 	 1.100000 
 173 	 95.104894 	 -510.163051 	 1.100000 
 174 	 53.842069 	 -115.084231 	 1.100000 
 175 	 432.888885 	 -168.799422 	 1.100000 
 176 	 -117.071839 	 -489.984360 	 1.100000 
 177 	 -129.355476 	 -472.349404 	 1.100000 
 178 	 16.473650 	 -503.832368 	 1.100000 
 179 	 -158.819233 	 -155.486801 	 1.100000 
 180 	 229.065464 	 1.595255 	 1.100000 
 181 	 -106.792589 	 460.618668 	 1.100000 
 182 	 -213.809605 	 -396.588291 	 1.100000 
 183 	 -13.394553 	 83.433013 	 1.100000 
 184 	 -156.183832 	 -177.645231 	 1.100000 
 185 	 -305.014637 	 346.532805 	 1.100000 
 186 	 216.850838 	 -273.998732 	 1.100000 
 187 	 -118.860082 	 317.917413 	 1.100000 
 188 	 -83.525829 	 -211.433630 	 1.100000 
 189 	 330.931431 	 -189.288105 	 1.100000 
